year,date,product_name,inn_name,batch_no,manufacturer,reason
2020,17/06/20,8-0  Blue twisted silk suture,Sutures,Assorted,Johnson and Johnson,Voluntary recall
2020,24/06/2020,Microplas plasmafilter,Plasmafilter,"IBP4102,IBP4103, IBP4104",Bellco,A Plasma filter is used instead of a hemofilter
2020,10/07/2020,Deep heat patch,Mentholatum,"201903B0, 202001C0",The metholatum company UK,Therapeutic ineffectiveness
2020,14/09/20,Allucid Plus,"Aluminium hydroxide, Magnesium hydroxide and Simethicone","1019101, 1019093",Biodeal Laboratories Ltd,Voluntary recall following visible particles reports
2020,02/10/2020,Triohist syrup,"Chlorpheniramine, diphenhydramine, promethazine, ephedrine, ammonium chloride, sodium citrate, and menthol",71550,Laboratory and Allied Ltd,Color change
2020,19/10/2020,Magnocid Mixture,"Magnesium carbonate, Sodium carbonate",0720141 and 0720142,Biodeal Laboratories Ltd,Voluntary recall following color change
2020,23/10/2020,Dawasprin 300,Aspirin,"1906109.1906108, 1907040, 1907042, 1907041, 1906106, 1907217",Dawa Ltd,broken tablets
2020,19/11/2020,Dawapraz 20,Omeprazole,1811147,Dawa Ltd,The product failed dissolution test
2020,24/11/2020,Atracurium,Atracurium,"AB11927BC, AB11914BC, AB11705BC",Celon laboratories Ltd,Therapeutic ineffectiveness
2020,24/11/2020,Lamprene 100mg,Clofazimine,JM4107 and JB9534,Norvatis,Clamping and lose of coat color
2020,24/11/2020,Warfarin 5mg,Warfarin,All batches,Njimia Pharmaceuticals,Color change and hard to break
2020,16/12/2020,Rinacet 10mg,Cetrizine,2006164,Dawa Ltd,Voluntary recall due to failure to meet labeling requirements
2021,10/05/2021,"Losar-Denk,",Lorsatan,All batches,Denk Pharma,Discovery of 4-chlor-azidomethyltetrazole
2021,10/05/2021,Co-losar Denk,losartan and Hydrochlorthiazide,All batches,Denk Pharma,Discovery of 4-chlor-azidomethyltetrazole
2021,10/07/2021,Tanzol 400mg,Albendazole,371166,Shalina Healthcare,The product failed dissolution test
2021,26/07/2021,Dazole 1%,Clotrimazole,"1808208, 1901255, 1904237, 1904247, 1906123",Dawa Ltd,Leaking contents
2021,06/08/2021,Totomol suspension,Paracetamol,78587,Laboratory and Allied Ltd,Voluntary recall following crystallization
2021,25/08/2021,Carbocysten-promethazine syrup,Carbocystein and promethazine,Several batches,Dawa Ltd,Voluntary recall due to fail of assay of FUST
2021,31/08/2021,Frusemide 40mg,Frusemide,"2105115, 2105116",Dawa Ltd,voluntary recall because of soft tablets
2021,27/09/2021,Zolex 400,Albendazole,ZOL803,,The product failed dissolution test
2021,06/10/2021,Biotrim suspension,Trimethoprim suphamethoxazole,520094,Biodeal Laboratories Ltd,Color change
2021,21/10/2021,Irbesatan finished products,Irbesartan,"AA548, AA645, AA664, AA193, AA707, AMXA007, AMXA005, AMXA003, AMXA004, 9MXA005,",Sanofi Aventis,Potential presence of GTI2
